tipo_solo,ph_solo,nutrientes_solo,temperatura,precipitacao,semente
1,6.5930859737204655,27.33739159464655,8.898455001363846,79.84250789732435,0
2,6.155994520336202,42.323344486727976,24.330880728874675,30.05575058716044,2
1,5.041168988591605,58.79639408647977,9.162213204002109,60.61695553391381,0
0,5.234963019255433,84.46612641953124,10.035331526098586,51.15312125207079,1
1,6.223705789444759,25.579754426081674,6.4607232426760905,68.31809216468459,0
2,6.090606434532821,64.73544037332348,21.912309956335815,49.16154429033941,2
0,4.092900825439996,84.30179407605753,10.852620618436458,53.25257964926398,1
0,5.931264066149119,92.33589392465845,11.523068845866852,54.883605700319194,1
1,6.366527037650917,44.399866311304834,9.165974558680823,58.6682326753886,0
0,4.517559963200034,86.50089137415928,11.558555380447055,76.00340105889055,1
2,6.567700327819992,41.25253169822234,24.211423872974994,22.487706668488283,2
2,6.894827350427649,63.915999152443405,24.609371175115584,4.424625102595975,2
1,6.041668520051648,58.44688097397396,9.222669243390758,87.36600550686904,0
1,6.657475018303859,34.27013306774357,6.404672548436904,77.13480415791243,0
0,4.592547011408165,66.6106775625201,10.07818203370597,71.17007403531848,1
0,4.397431363068344,60.220884684944096,14.07730714227417,85.34286719238085,1
1,6.580351081062411,44.23839899124046,9.631504392566745,82.55385127509723,0
1,6.700077155579598,37.97802696552814,5.477050582452057,68.54091260991332,0
2,6.3251833220267475,69.18424713352256,23.187787356776067,44.36063712881633,2
0,4.7658537495075795,98.86848381556415,14.24456912133042,86.08647605824366,1
1,6.541934359909122,39.75182385457563,7.61366414690997,71.37705091792748,0
2,6.43933650186577,48.06876809341585,24.478817978367598,23.768511159105586,2
0,5.017141382329406,96.30265895704372,11.246461145744375,70.51914615178148,1
1,5.406122449469539,57.71414282231924,7.99432733244268,84.73924665198523,0
2,6.624354048133793,51.82534743350856,20.527471299151355,22.826728524145512,2
2,6.883280258918869,52.973800840210956,20.610439773503366,17.814891903848746,2
2,6.110051924527677,49.117406501677664,22.13553894313128,40.90073829612466,2
0,4.609562516316058,66.58623412571767,12.67044709687721,74.24149856794917,1
0,4.239730734667366,73.50460685614512,14.714548519562596,66.16014660103777,1
0,4.807672342116081,62.59568988435926,11.269577069671723,62.34380314193006,1
1,5.994497011784771,32.03513239267079,6.424202471887338,51.84434736772664,0
0,5.953229911665305,76.44148053272926,10.165253664502742,67.25356240133415,1
0,4.479123781333945,65.79579488364892,12.447263801387816,99.28252270553003,1
1,6.3442710948117575,50.4647846131487,6.188187719961999,86.41081743059297,0
0,5.264611661187159,85.34118843043579,12.678873420373792,54.51448850272041,1
0,4.301435087930859,80.32795106962874,13.479064033954408,92.917940240686,1
1,5.440482095131097,48.44598129752072,9.047505230698576,67.43329936458647,0
1,5.348732858009983,47.63750952409864,6.933676731502687,96.83649943683673,0
0,5.351380234078562,89.40864476963088,11.045358103688569,77.07239869137828,1
2,6.257941627715155,66.39936184136715,24.08611100100608,27.760040579973115,2
0,4.483704581800904,63.72411071223597,14.486078789766633,95.02090285816652,1
